Well,PHIE,SWE,Reservoir
Demo_Well_11,0.09438,1.0,VENUS
Demo_Well_11,0.09624,1.0,VENUS
Demo_Well_11,0.10051,1.0,VENUS
Demo_Well_11,0.12665,1.0,VENUS
Demo_Well_11,0.12327,1.0,VENUS
Demo_Well_11,0.1061,1.0,VENUS
Demo_Well_11,0.08512,1.0,VENUS
Demo_Well_11,0.1093,1.0,VENUS
Demo_Well_11,0.14498,1.0,VENUS
Demo_Well_11,0.14555,1.0,VENUS
Demo_Well_11,0.1347,1.0,VENUS
Demo_Well_11,0.10829,1.0,VENUS
Demo_Well_11,0.10856,1.0,VENUS
Demo_Well_11,0.10918,1.0,VENUS
Demo_Well_11,0.08848,1.0,VENUS
Demo_Well_11,0.09362,1.0,VENUS
Demo_Well_11,0.10824,1.0,VENUS
Demo_Well_11,0.11732,1.0,VENUS
Demo_Well_11,0.10658,1.0,VENUS
Demo_Well_11,0.09427,1.0,VENUS
Demo_Well_11,0.12132,1.0,VENUS
Demo_Well_11,0.12802,1.0,VENUS
Demo_Well_11,0.12647,1.0,VENUS
Demo_Well_11,0.12167,1.0,VENUS
Demo_Well_11,0.09871,1.0,VENUS
Demo_Well_11,0.09555,1.0,VENUS
Demo_Well_11,0.13141,1.0,VENUS
Demo_Well_11,0.14485,1.0,VENUS
Demo_Well_11,0.13187,1.0,VENUS
Demo_Well_11,0.10737,1.0,VENUS
Demo_Well_11,0.08522,1.0,VENUS
Demo_Well_11,0.08515,1.0,VENUS
Demo_Well_11,0.0886,1.0,VENUS
Demo_Well_11,0.09122,1.0,VENUS
Demo_Well_11,0.08593,1.0,VENUS
Demo_Well_11,0.11159,1.0,VENUS
Demo_Well_11,0.13658,1.0,VENUS
Demo_Well_11,0.12573,1.0,VENUS
Demo_Well_11,0.10712,1.0,VENUS
Demo_Well_11,0.08909,1.0,VENUS
Demo_Well_11,0.0911,1.0,VENUS
Demo_Well_11,0.11094,1.0,VENUS
Demo_Well_11,0.12035,1.0,VENUS
Demo_Well_11,0.12303,1.0,VENUS
Demo_Well_11,0.11288,1.0,VENUS
Demo_Well_11,0.10566,1.0,VENUS
Demo_Well_11,0.09156,1.0,VENUS
Demo_Well_11,0.09243,1.0,VENUS
Demo_Well_11,0.09885,1.0,VENUS
Demo_Well_11,0.10533,1.0,VENUS
Demo_Well_11,0.12972,1.0,VENUS
Demo_Well_11,0.13287,1.0,VENUS
Demo_Well_11,0.12123,1.0,VENUS
Demo_Well_11,0.10749,1.0,VENUS
Demo_Well_11,0.10208,1.0,VENUS
Demo_Well_11,0.08824,1.0,VENUS
Demo_Well_11,0.09635,1.0,VENUS
Demo_Well_11,0.09252,1.0,VENUS
Demo_Well_11,0.10131,0.39561,VENUS
Demo_Well_11,0.11345,0.35208,VENUS
Demo_Well_11,0.11941,0.25951,VENUS
Demo_Well_11,0.11064,0.192,VENUS
Demo_Well_11,0.1158,0.18515,VENUS
Demo_Well_11,0.12383,0.20407,VENUS
Demo_Well_11,0.13704,0.21014,VENUS
Demo_Well_11,0.14694,0.22159,VENUS
Demo_Well_11,0.16165,0.25006,VENUS
Demo_Well_11,0.15627,0.25573,VENUS
Demo_Well_11,0.14734,0.25318,VENUS
Demo_Well_11,0.13002,0.23282,VENUS
Demo_Well_11,0.12575,0.25292,VENUS
Demo_Well_11,0.1193,0.32315,VENUS
Demo_Well_11,0.11692,0.27514,VENUS
Demo_Well_11,0.12843,0.233,VENUS
Demo_Well_11,0.13825,0.24622,VENUS
Demo_Well_11,0.1454,0.28357,VENUS
Demo_Well_11,0.15495,0.29969,VENUS
Demo_Well_11,0.15717,0.29199,VENUS
Demo_Well_11,0.14878,0.29561,VENUS
Demo_Well_11,0.12619,0.28035,VENUS
Demo_Well_11,0.09136,0.23419,VENUS
Demo_Well_12,0.16721,0.97586,VENUS
Demo_Well_12,0.18955,0.83655,VENUS
Demo_Well_12,0.20408,0.7473,VENUS
Demo_Well_12,0.20598,0.70708,VENUS
Demo_Well_12,0.19792,0.69863,VENUS
Demo_Well_12,0.17068,1.0,VENUS
Demo_Well_12,0.14405,1.0,VENUS
Demo_Well_12,0.12074,1.0,VENUS
Demo_Well_12,0.12392,1.0,VENUS
Demo_Well_12,0.13675,1.0,VENUS
Demo_Well_12,0.15558,1.0,VENUS
Demo_Well_12,0.18006,0.67852,VENUS
Demo_Well_12,0.20612,0.60616,VENUS
Demo_Well_12,0.23397,0.54419,VENUS
Demo_Well_12,0.25484,0.50238,VENUS
Demo_Well_12,0.27224,0.46892,VENUS
Demo_Well_12,0.28797,0.4432,VENUS
Demo_Well_12,0.27503,0.43804,VENUS
Demo_Well_12,0.25479,0.43545,VENUS
Demo_Well_12,0.22698,0.43976,VENUS
Demo_Well_12,0.20558,0.45498,VENUS
Demo_Well_12,0.1893,1.0,VENUS
Demo_Well_12,0.17903,1.0,VENUS
Demo_Well_12,0.17567,1.0,VENUS
Demo_Well_12,0.17157,1.0,VENUS
Demo_Well_12,0.16202,1.0,VENUS
Demo_Well_12,0.14621,1.0,VENUS
Demo_Well_12,0.09231,1.0,VENUS
Demo_Well_12,0.09398,1.0,VENUS
Demo_Well_12,0.09491,1.0,VENUS
Demo_Well_12,0.09501,1.0,VENUS
Demo_Well_12,0.10113,1.0,VENUS
Demo_Well_12,0.11028,1.0,VENUS
Demo_Well_12,0.12165,1.0,VENUS
Demo_Well_12,0.13706,1.0,VENUS
Demo_Well_12,0.15674,0.78191,VENUS
Demo_Well_12,0.1797,0.68146,VENUS
Demo_Well_12,0.20095,0.6058,VENUS
Demo_Well_12,0.2199,0.5521,VENUS
Demo_Well_12,0.2359,0.52227,VENUS
Demo_Well_12,0.24486,0.50232,VENUS
Demo_Well_12,0.24867,0.48736,VENUS
Demo_Well_12,0.24388,0.47676,VENUS
Demo_Well_12,0.23032,0.47277,VENUS
Demo_Well_12,0.21435,0.47187,VENUS
Demo_Well_12,0.19833,0.48255,VENUS
Demo_Well_12,0.18831,0.49528,VENUS
Demo_Well_12,0.18182,0.50821,VENUS
Demo_Well_12,0.17807,0.50037,VENUS
Demo_Well_12,0.18216,0.48956,VENUS
Demo_Well_12,0.19111,0.47733,VENUS
Demo_Well_12,0.19898,0.45394,VENUS
Demo_Well_12,0.2068,0.43318,VENUS
Demo_Well_12,0.21466,0.41471,VENUS
Demo_Well_12,0.22644,0.4064,VENUS
Demo_Well_12,0.24013,0.39694,VENUS
Demo_Well_12,0.25011,0.3938,VENUS
Demo_Well_12,0.26015,0.38562,VENUS
Demo_Well_12,0.26386,0.37616,VENUS
Demo_Well_12,0.26365,0.37025,VENUS
Demo_Well_12,0.26333,0.36544,VENUS
Demo_Well_12,0.26243,0.35886,VENUS
Demo_Well_12,0.26267,0.35675,VENUS
Demo_Well_12,0.26369,0.36127,VENUS
Demo_Well_12,0.26237,0.36172,VENUS
Demo_Well_12,0.26002,0.35978,VENUS
Demo_Well_12,0.26212,0.36102,VENUS
Demo_Well_12,0.26497,0.36269,VENUS
Demo_Well_12,0.26765,0.36273,VENUS
Demo_Well_12,0.26951,0.36351,VENUS
Demo_Well_12,0.27025,0.36462,VENUS
Demo_Well_12,0.26912,0.3643,VENUS
Demo_Well_12,0.26491,0.3618,VENUS
Demo_Well_12,0.2606,0.35773,VENUS
Demo_Well_12,0.26082,0.35877,VENUS
Demo_Well_12,0.26189,0.36231,VENUS
Demo_Well_12,0.26276,0.36653,VENUS
Demo_Well_12,0.26244,0.36647,VENUS
Demo_Well_12,0.26163,0.36662,VENUS
Demo_Well_12,0.26003,0.36776,VENUS
Demo_Well_12,0.2563,0.37048,VENUS
Demo_Well_12,0.24864,0.36943,VENUS
Demo_Well_12,0.23816,0.36238,VENUS
Demo_Well_12,0.24065,0.35988,VENUS
Demo_Well_12,0.24087,0.36801,VENUS
Demo_Well_12,0.24121,0.37956,VENUS
Demo_Well_12,0.23528,0.42448,VENUS
Demo_Well_12,0.22417,0.45424,VENUS
Demo_Well_12,0.21015,0.48738,VENUS
Demo_Well_12,0.19822,0.52108,VENUS
Demo_Well_12,0.18589,0.56153,VENUS
Demo_Well_12,0.17295,0.60951,VENUS
Demo_Well_12,0.14843,0.68513,VENUS
