Zp,LR,VpVs,MR,Den,Facies
7648.48632812,25.4456768,1.88169599,16.52733421,2.53373146,0.0
7653.08789062,25.70384789,1.88825452,16.43357086,2.53588796,0.0
7658.00830078,25.9634285,1.8947891,16.34154129,2.53808355,0.0
7663.24755859,26.22442055,1.90129948,16.2512455,2.54031873,0.0
7669.11621094,26.50251389,1.90817833,16.15721703,2.5427258,0.0
7670.09472656,26.58382034,1.91043901,16.12432861,2.53882337,0.0
7646.10107422,25.71524239,1.89068758,16.37610245,2.5045011,0.0
7621.99121094,24.84563828,1.87093937,16.62748528,2.47015929,1.0
7597.77978516,23.97515869,1.85119545,16.87851524,2.43580413,0.0
7573.53955078,23.10633469,1.83151293,17.12847328,2.40153527,1.0
7549.19824219,22.23663712,1.81183469,17.37807846,2.36725283,1.0
7513.22216797,21.81071091,1.80617082,17.32223511,2.34661269,0.0
7465.61279297,21.82958031,1.81453967,16.96046066,2.33961487,1.0
7417.90380859,21.84893608,1.82293713,16.59768295,2.33260441,1.0
7367.49755859,21.86978149,1.83181846,16.21417427,2.32519817,0.0
7316.98828125,21.89112854,1.84072924,15.82963085,2.31777883,0.0
7266.37597656,21.91297722,1.84966946,15.44405174,2.31034565,0.0
7292.33447266,21.94791412,1.84606028,15.61747742,2.31286907,0.0
7319.66748047,21.9848671,1.84227169,15.80005646,2.3155725,0.0
7346.75,22.02340889,1.83856702,15.98000336,2.31824994,0.0
7373.73144531,22.06372833,1.83492517,16.1583271,2.3209157,0.0
7400.61914062,22.10570335,1.83134162,16.33513641,2.32357025,0.0
7396.37744141,22.25297356,1.83718884,16.23088074,2.33550906,1.0
7369.15380859,22.47554779,1.84994149,15.92030811,2.35433435,0.0
7343.31445312,22.68651962,1.86205637,15.62565136,2.37234783,0.0
7317.81445312,22.8942852,1.87401903,15.33506298,2.39027214,0.0
7292.65332031,23.09884071,1.88582933,15.04854202,2.40810752,0.0
7267.83154297,23.30018997,1.8974874,14.76608849,2.42585349,0.0
7276.72802734,23.42761612,1.89894843,14.7665205,2.4366312,0.0
7284.54345703,23.54450989,1.90033889,14.76435375,2.44681144,1.0
7291.74853516,23.65843773,1.90175843,14.75919628,2.45702457,1.0
